时刻 ms,已识别_无傀儡任务,已识别_有傀儡任务,静态分析上界,覆盖率_无傀儡%,覆盖率_有傀儡%,阶段,标注
0,0,0,1180,0.0,0.0,启动早期,
50,76,76,1180,6.4,6.4,启动早期,
100,147,147,1180,12.5,12.5,启动早期,
150,212,212,1180,18.0,18.0,启动早期,
200,272,272,1180,23.1,23.1,启动早期,
300,378,378,1180,32.0,32.0,启动早期,
400,468,468,1180,39.7,39.7,启动早期,
500,545,545,1180,46.2,46.2,启动早期,
600,611,611,1180,51.8,51.8,启动中期,
800,714,714,1180,60.5,60.5,启动中期,
1000,789,789,1180,66.9,66.9,启动中期,
1200,843,843,1180,71.4,71.4,启动中期,
1400,882,882,1180,74.7,74.7,启动中期,
1600,910,910,1180,77.1,77.1,启动后期,
1800,931,931,1180,78.9,78.9,启动后期,
2000,946,946,1180,80.2,80.2,启动后期,
2200,957,957,1180,81.1,81.1,启动后期,傀儡任务开始
2400,964,1045,1180,81.7,88.6,启动完成后,启动完成
2800,974,1090,1180,82.5,92.4,启动完成后,
3200,979,1099,1180,83.0,93.1,启动完成后,
4000,983,1103,1180,83.3,93.5,启动完成后,
5000,985,1105,1180,83.5,93.6,启动完成后,
