项目,该路径跨区域转移次数,Base,+R,+RD,+RDP,单位,+RDP 相对 Base%
空系统调用,23,0.42,0.83,0.84,0.93,μs,121.4
读系统调用,31,0.58,1.14,1.15,1.26,μs,117.2
写系统调用,29,0.55,1.07,1.08,1.19,μs,116.4
打开与关闭,88,1.92,3.51,3.54,3.86,μs,101.0
文件状态查询,54,1.15,2.12,2.14,2.34,μs,103.5
进程创建,3400,82.0,143.27,144.49,156.87,μs,91.3
程序装载,9800,245.0,421.6,425.13,460.8,μs,88.1
上下文切换（2 进程）,42,1.85,2.61,2.62,2.77,μs,49.7
上下文切换（8 进程）,78,3.4,4.81,4.83,5.12,μs,50.6
缺页处理,26,0.68,1.15,1.16,1.25,μs,83.8
内存读带宽,—,9850,9840,9835,9832,MB/s,-0.2
内存写带宽,—,6720,6713,6710,6708,MB/s,-0.2
中断延迟最大值,—,48,50,51,52,μs,8.3
中断延迟 99.9 分位,—,12,12.6,13.0,13.4,μs,11.7
