Benchmark,类型,内存足迹,估计 %sys,预计开销%(S=8%),悲观%(S=15%)
400.perlbench,INT,~600 MB,0.5,0.14,0.175
401.bzip2,INT,~870 MB,0.4,0.132,0.16
403.gcc,INT,~900 MB,0.7,0.156,0.205
429.mcf,INT,~1.7 GB,1.0,0.18,0.25
445.gobmk,INT,~30 MB,0.15,0.112,0.122
456.hmmer,INT,~60 MB,0.15,0.112,0.122
458.sjeng,INT,~180 MB,0.2,0.116,0.13
462.libquantum,INT,~100 MB,0.25,0.12,0.138
464.h264ref,INT,~65 MB,0.2,0.116,0.13
471.omnetpp,INT,~170 MB,0.6,0.148,0.19
473.astar,INT,~330 MB,0.5,0.14,0.175
483.xalancbmk,INT,~430 MB,0.8,0.164,0.22
410.bwaves,FP,~880 MB,0.7,0.156,0.205
416.gamess,FP,~50 MB,0.15,0.112,0.122
433.milc,FP,~700 MB,0.9,0.172,0.235
434.zeusmp,FP,~500 MB,0.6,0.148,0.19
435.gromacs,FP,~30 MB,0.1,0.108,0.115
436.cactusADM,FP,~800 MB,0.8,0.164,0.22
437.leslie3d,FP,~120 MB,0.5,0.14,0.175
444.namd,FP,~50 MB,0.1,0.108,0.115
447.dealII,FP,~800 MB,0.7,0.156,0.205
450.soplex,FP,~500 MB,0.6,0.148,0.19
453.povray,FP,~10 MB,0.1,0.108,0.115
454.calculix,FP,~130 MB,0.3,0.124,0.145
459.GemsFDTD,FP,~830 MB,0.9,0.172,0.235
465.tonto,FP,~40 MB,0.25,0.12,0.138
470.lbm,FP,~420 MB,0.7,0.156,0.205
481.wrf,FP,~700 MB,0.7,0.156,0.205
482.sphinx3,FP,~45 MB,0.35,0.128,0.152
SPECint 均值,—,—,0.45,0.136,0.168
SPECfp 均值,—,—,0.5,0.14,0.175
全体均值,—,—,0.48,0.138,0.172
