随机化频率 次/秒,负载,常驻税开销%,随机化开销%,总开销%
0.2,计算密集型,0.014,0.0001,0.014
0.2,网络请求响应,1.982,0.0001,1.982
0.2,随机小块读,1.892,0.0001,1.892
0.5,计算密集型,0.014,0.0002,0.015
0.5,网络请求响应,1.982,0.0002,1.982
0.5,随机小块读,1.892,0.0002,1.892
1,计算密集型,0.014,0.0004,0.015
1,网络请求响应,1.982,0.0004,1.983
1,随机小块读,1.892,0.0004,1.892
2,计算密集型,0.014,0.0007,0.015
2,网络请求响应,1.982,0.0007,1.983
2,随机小块读,1.892,0.0007,1.893
5,计算密集型,0.014,0.0019,0.016
5,网络请求响应,1.982,0.0019,1.984
5,随机小块读,1.892,0.0019,1.894
10,计算密集型,0.014,0.0037,0.018
10,网络请求响应,1.982,0.0037,1.986
10,随机小块读,1.892,0.0037,1.896
20,计算密集型,0.014,0.0074,0.022
20,网络请求响应,1.982,0.0074,1.99
20,随机小块读,1.892,0.0074,1.9
50,计算密集型,0.014,0.0185,0.033
50,网络请求响应,1.982,0.0185,2.001
50,随机小块读,1.892,0.0185,1.911
100,计算密集型,0.014,0.037,0.051
100,网络请求响应,1.982,0.037,2.019
100,随机小块读,1.892,0.037,1.929
200,计算密集型,0.014,0.074,0.088
200,网络请求响应,1.982,0.074,2.056
200,随机小块读,1.892,0.074,1.966
500,计算密集型,0.014,0.185,0.199
500,网络请求响应,1.982,0.185,2.167
500,随机小块读,1.892,0.185,2.077
1000,计算密集型,0.014,0.37,0.384
1000,网络请求响应,1.982,0.37,2.352
1000,随机小块读,1.892,0.37,2.262
3000,计算密集型,0.014,1.11,1.124
3000,网络请求响应,1.982,1.11,3.092
3000,随机小块读,1.892,1.11,3.002
