# 预测值
mechanism,targets,callsite_pct
clang,1,0.0659
clang,2,3.4080
clang,3,14.7508
clang,4,20.0568
clang,5,16.7326
clang,6,11.0512
clang,7,6.5333
clang,8,3.7289
clang,9,2.1824
clang,10,1.3791
clang,11,0.9704
clang,12,0.7582
clang,13,0.6393
clang,14,0.5633
clang,15,0.5066
clang,16,0.4587
clang,17,0.4155
clang,18,0.3756
clang,19,0.3385
clang,20,0.3043
clang,21,0.2731
clang,22,0.2449
clang,23,0.2197
clang,24,0.1973
clang,25,0.1775
clang,26,0.1602
clang,27,0.1450
clang,28,0.1319
clang,29,0.1205
clang,30,0.1106
clang,>30,13.0000
hek,1,2.1472
hek,2,13.2801
hek,3,17.7578
hek,4,15.4245
hek,5,11.4308
hek,6,8.0079
hek,7,5.5667
hek,8,3.9377
hek,9,2.8680
hek,10,2.1570
hek,11,1.6707
hek,12,1.3256
hek,13,1.0713
hek,14,0.8775
hek,15,0.7257
hek,16,0.6046
hek,17,0.5066
hek,18,0.4265
hek,19,0.3609
hek,20,0.3068
hek,21,0.2623
hek,22,0.2255
hek,23,0.1952
hek,24,0.1702
hek,25,0.1495
hek,26,0.1324
hek,27,0.1183
hek,28,0.1067
hek,29,0.0971
hek,30,0.0891
hek,>30,8.0000
pal,1,11.4523
pal,2,33.2699
pal,3,23.1320
pal,4,11.5953
pal,5,5.4488
pal,6,2.6956
pal,7,1.5087
pal,8,0.9796
pal,9,0.7188
pal,10,0.5684
pal,11,0.4662
pal,12,0.3883
pal,13,0.3254
pal,14,0.2734
pal,15,0.2305
pal,16,0.1952
pal,17,0.1664
pal,18,0.1431
pal,19,0.1243
pal,20,0.1092
pal,21,0.0971
pal,22,0.0875
pal,23,0.0799
pal,24,0.0738
pal,25,0.0690
pal,26,0.0652
pal,27,0.0621
pal,28,0.0597
pal,29,0.0578
pal,30,0.0563
pal,>30,5.5000
boot,1,44.9069
boot,2,26.3594
boot,3,11.7917
boot,4,5.3586
boot,5,2.5781
boot,6,1.3238
boot,7,0.7309
boot,8,0.4410
boot,9,0.2978
boot,10,0.2289
boot,11,0.1987
boot,12,0.1883
boot,13,0.1877
boot,14,0.1911
boot,15,0.1952
boot,16,0.1984
boot,17,0.1999
boot,18,0.1994
boot,19,0.1970
boot,20,0.1928
boot,21,0.1873
boot,22,0.1807
boot,23,0.1733
boot,24,0.1655
boot,25,0.1574
boot,26,0.1493
boot,27,0.1414
boot,28,0.1337
boot,29,0.1264
boot,30,0.1194
boot,>30,2.5000
run,1,46.3376
run,2,26.6266
run,3,11.5351
run,4,5.0807
run,5,2.3758
run,6,1.1901
run,7,0.6442
run,8,0.3838
run,9,0.2583
run,10,0.1996
run,11,0.1750
run,12,0.1675
run,13,0.1682
run,14,0.1721
run,15,0.1764
run,16,0.1797
run,17,0.1814
run,18,0.1812
run,19,0.1792
run,20,0.1757
run,21,0.1709
run,22,0.1651
run,23,0.1587
run,24,0.1518
run,25,0.1447
run,26,0.1376
run,27,0.1306
run,28,0.1238
run,29,0.1174
run,30,0.1113
run,>30,2.2000
